key,name,description
1/3,Investigator / Experimenter,"Consciously, you are the Investigator: you study deeply, you need a foundation of knowledge before you'll speak, and you do not feel ready until you understand the underneath. Unconsciously, others experience you as the Experimenter: someone who learns by doing, who tries, fails, and tries again in public. Your life moves through both modes. Most of the things you call mistakes are research that becomes wisdom."
1/4,Investigator / Opportunist,"Consciously, you are the Investigator: you build deep knowledge slowly, on your own terms, and you don't share until the foundation is solid. Unconsciously, others experience you as the Opportunist: someone whose influence travels through their network of trusted relationships. Your work moves through people you already know, and the depth you bring is what makes those relationships matter."
2/4,Hermit / Opportunist,"Consciously, you are the Hermit: you have a natural gift you mostly forget you have, and you need solitude to stay yourself. Unconsciously, others experience you as the Opportunist: someone whose presence in their network they value. People will name your gift before you do, and they invite you to use it. Your work moves through invitation, not through advertisement."
2/5,Hermit / Heretic,"Consciously, you are the Hermit: you need solitude to stay yourself, and you have a gift others see before you do. Unconsciously, others experience you as the Heretic: a problem-solver they project the role of saviour onto. People will call you out from your hermitage with practical demands. Solitude keeps you sane; emergence is for the specific call you can actually answer."
3/5,Experimenter / Heretic,"Consciously, you are the Experimenter: you learn by trying, your failures are public, and they teach you. Unconsciously, others experience you as the Heretic: someone with practical solutions, projected onto when something needs fixing. The world keeps bringing you new problems to solve, partly because you keep walking into them, and partly because people sense you can."
3/6,Experimenter / Role Model,"Consciously, you are the Experimenter: trial and error is how you learn, and you don't apologise for it. Unconsciously, others experience you as the Role Model: someone whose lived life is itself the teaching. Your life has 2 halves with a transition around age 30. The first half is mistakes and getting to know the terrain. The second is watching, knowing, having lived enough to see the patterns."
4/6,Opportunist / Role Model,"Consciously, you are the Opportunist: your influence moves through your network and your friendships. Unconsciously, others experience you as the Role Model: someone whose example they watch and learn from. People follow how you live more than what you say. The two together mean your community is also your audience, whether or not you wanted that to be the case."
4/1,Opportunist / Investigator,"Consciously, you are the Opportunist: you build influence through your existing relationships. Unconsciously, others experience you as the Investigator: someone with deep, foundational knowledge they trust. The combination means your network values you for what you actually know. People come to you because they trust both your reach and your rigour."
5/1,Heretic / Investigator,"Consciously, you are the Heretic: you see yourself as someone with practical solutions, called in to fix what others can't. Unconsciously, others experience you as the Investigator: the depth of your study and foundation. They project the saviour role onto you, and you can deliver because the foundation is there. The shadow is being projected onto without the foundation actually being in place yet, or hiding behind the foundation when the call to deliver comes."
5/2,Heretic / Hermit,"Consciously, you are the Heretic: people call you out for solutions, and the projections come fast. Unconsciously, others experience you as the Hermit: someone whose solitude is part of what makes them effective. You will be projected onto for things you didn't ask to be known for. Privacy is how you stay sane; emergence is reserved for the specific calls that actually fit."
6/2,Role Model / Hermit,"Consciously, you are the Role Model: someone whose life is itself the teaching. Unconsciously, others experience you as the Hermit: someone whose solitude is necessary and observed. 3 life chapters: the trial years (until about 30), the watching years (from the rooftop, between roughly 30 and 50), and the wisdom years (after about 50). Most of your work in the world happens in the 3rd chapter."
6/3,Role Model / Experimenter,"Consciously, you are the Role Model: your lived life is the teaching. Unconsciously, others experience you as the Experimenter: someone whose trials they have watched and learned from. You live and learn, again and again, until the wisdom is unmistakable, even to you. The lessons are not over until you say so, and you tend to say so later than other people would."
