key,name,centers,description
4-63,Logic,Head ↔ Ajna,"The doubt-and-answer channel between Head and Ajna. You ask 'how do you know?' as a default move, even when no one expects it. The gift is catching the broken step in someone's reasoning before they spend 3 weeks acting on it. The shadow is using the same skill on yourself until you can't move; the more you doubt, the more there is to doubt."
24-61,Awareness,Head ↔ Ajna,"The reflective-knowing channel between Head and Ajna. You sit with not-knowing until clarity arrives, sometimes for years. The gift is insight that needs silence to land, then arrives in a single sentence that explains everything. The shadow is using the mind as a hiding place from action you already know is yours."
47-64,Abstraction,Head ↔ Ajna,"The pattern-recognition channel between Head and Ajna. You replay old confusion until it becomes a story you can tell. Not on demand. The gift is making sense of what looked like chaos, often years after it happened. The shadow is overinvestment in the past; the meaning will come, but you can't make it come faster."
17-62,Acceptance,Ajna ↔ Throat,"The opinion-as-fact channel between Ajna and Throat. You speak in organized claims, with detail attached. You sound certain because you are certain. The gift is structured, defensible thinking that helps others find footing. The shadow is mistaking your opinion for objective truth, and being annoyed when others don't immediately agree."
11-56,Curiosity,Ajna ↔ Throat,"The storyteller channel between Ajna and Throat. You collect ideas, images, and fragments, and your job is to tell stories with them. You teach and persuade through narrative rather than lists. The shadow is collecting endlessly without telling, or telling stories that have nothing to do with your actual life."
23-43,Structuring,Ajna ↔ Throat,"The individual-genius channel between Ajna and Throat. Insight arrives whole, in language only you have. The gift is original thinking that nobody else was going to come up with. The shadow is being misread when the timing is wrong, then deciding it was always going to be misunderstood."
7-31,Alpha,Throat ↔ G,"The leadership channel between Throat and G. People look to you for direction, in the future-forward sense. The gift is leading by being recognised, with the position offered rather than seized. The shadow is forcing the role when the invitation hasn't arrived, which makes the leadership land as control instead."
1-8,Inspiration,Throat ↔ G,"The creative-individuality channel between Throat and G. You make something only you could have made, and you say it the way only you would say it. The gift is creative singularity that, when received, gives other people permission to be themselves too. The shadow is waiting for approval that isn't coming, then disowning the work."
13-33,Prodigal,Throat ↔ G,"The witness channel between Throat and G. You hold experiences (yours and other people's) until the meaning arrives, then tell them. The gift is being a keeper of stories, the one people trust with what they haven't told anyone else. The shadow is becoming the receptacle for everything everyone tells you, with no place to put it down."
10-20,Awakening,Throat ↔ G,"An integration channel between Throat and G. The commitment to live what you actually believe, in the present, out loud. The gift is unmistakable self-presence; what you say and what you do are the same thing. The shadow is performing your principles instead of living them."
20-34,Charisma,Throat ↔ Sacral,"An integration channel between Throat and Sacral. You are most magnetic when fully absorbed in what you're doing now. People follow your action more than your explanation, which means you don't have to convince anyone. The shadow is performing rather than being absorbed; the magnetism vanishes the moment you start trying to produce it."
20-57,Brainwave,Throat ↔ Spleen,"An integration channel between Throat and Spleen. The knowing arrives in your body and comes out of your mouth in the same moment, before you have built a case for it. The gift is instinct that speaks in real time, often about something nobody else has clocked yet. The shadow is talking past the moment the knowing landed, or swallowing it because you can't explain how you know."
21-45,Money Line,Throat ↔ Ego,"The dominion channel between Throat and Ego. You have a natural authority over material resources: territory, money, the means of work. The gift is leadership of the tangible; people trust you to run things. The shadow is control that turns into punishment when crossed, and an inability to share the territory you've taken responsibility for."
12-22,Openness,Throat ↔ Solar Plexus,"The mood-as-instrument channel between Throat and Solar Plexus. Your social presence rides your emotional wave. In clarity you open rooms; in cloud you withdraw. The shadow is forcing presence when the wave isn't ready, then wondering why the room felt off."
35-36,Transitoriness,Throat ↔ Solar Plexus,"The jack-of-all-trades channel between Throat and Solar Plexus. You go through experiences quickly, learn what you came for, and move on. The gift is range, depth across surprising domains. The shadow is restlessness that never lets a thing finish, leaving a trail of half-built lives."
16-48,Wavelength,Throat ↔ Spleen,"The talent-rehearsal channel between Throat and Spleen. You repeat your craft until depth arrives, audible to others. The gift is mastery through enthusiasm; people can hear how many hours you've put in. The shadow is performing before the depth has arrived, then losing the enthusiasm that was carrying you through the practice."
2-14,Beat,G ↔ Sacral,"The keeper-of-the-keys channel between G and Sacral. You hold the direction, and you have the means to fund it. The gift is purposeful resource: knowing where you're going and being able to get yourself and others there. The shadow is hoarding the means without spending them on the direction."
5-15,Rhythm,G ↔ Sacral,"The flow channel between G and Sacral. You set a pace that includes everyone, even the people who didn't expect to be welcomed. The gift is inclusive timing; your rhythm makes the strangers feel like they belong. The shadow is forcing your rhythm onto someone whose body keeps a different one."
29-46,Discovery,G ↔ Sacral,"The yes-to-the-body channel between G and Sacral. You commit, and the work shows you what you committed to. The gift is success that arrives by surprise, often from a yes you almost didn't give. The shadow is saying yes to everything and learning the same lesson 5 times before the body's signal becomes loud enough to hear."
25-51,Initiation,G ↔ Ego,"The shock channel between G and Ego. You wake people up, sometimes by accident, sometimes on purpose. The gift is courage that catalyses others; you walk through what they were avoiding. The shadow is provocation for its own sake, shock without follow-through."
10-34,Exploration,G ↔ Sacral,"An integration channel between G and Sacral. Your energy shows up for what is actually yours and goes quiet for everything else, which is why being yourself is the whole job here. The gift is conviction with fuel behind it; you can sustain the thing you were built for long after other people have run out. The shadow is busyness that looks like purpose, all that power spent on work nobody asked you for and you never wanted."
10-57,Perfected Form,Spleen ↔ G,"An integration channel between G and Spleen. Survival lives in the body, faster than thought. The gift is instinct so reliable you stop questioning it, an embodied knowing that beats deliberation. The shadow is mistaking nervous-system signals for spiritual ones; the body protects, but it doesn't always know what's actually best for you long-term."
3-60,Mutation,Sacral ↔ Root,"The pressured-change channel between Sacral and Root. Change arrives on its own timing, under pressure, when you can't force it. The gift is being the source of what's new, the mutation that shifts what was stuck. The shadow is trying to push the timing; mutation that's forced becomes destruction."
9-52,Concentration,Sacral ↔ Root,"The focused-attention channel between Sacral and Root. You can stay with one thing for far longer than the people around you. The gift is sustained depth; you finish things others abandon. The shadow is missing the larger context because you're still on page 1, while the situation has already moved on."
42-53,Maturation,Sacral ↔ Root,"The cycle-completion channel between Sacral and Root. You finish what you started, and you start carefully because you know you'll be in it for a while. The gift is discipline, the rare ability to see something through. The shadow is grim duty when the joy has already left, finishing for the sake of finishing."
6-59,Mating,Sacral ↔ Solar Plexus,"The intimacy channel between Sacral and Solar Plexus. Chemistry, attraction, and the labour of close relationships. You read other people through your body before your mind catches up. The gift is a strong pull, and the discernment to choose well. The shadow is choosing nobody, or choosing everybody, or staying in proximity that has stopped being intimate."
27-50,Preservation,Sacral ↔ Spleen,"The caregiving channel between Sacral and Spleen. You take care of others, which is your gift, and your trap. The gift is the steady caretaker, the person whose presence makes others feel safe. The shadow is care that becomes captivity for both of you, and resentment when the people you've held don't reciprocate."
34-57,Power,Sacral ↔ Spleen,"An integration channel between Sacral and Spleen. Pure response in the present, with the spleen's instinct attached. The gift is power that arrives without thought, immediate and clean. The shadow is reactivity that bypasses the mind entirely, with consequences you didn't think through."
37-40,Community,Solar Plexus ↔ Ego,"The bargain channel between Solar Plexus and Ego. You are the family-maker, the deal-broker, the one who knows who is in and who is out. Loyalty is the currency. The gift is binding people together around a shared agreement. The shadow is staying in obligations that have already ended, or holding people to bargains they no longer remember making."
30-41,Recognition,Solar Plexus ↔ Root,"The fantasy channel between Solar Plexus and Root. You imagine what hasn't yet existed and pull it toward you. The gift is being the dream that drives others forward; people borrow your imagination. The shadow is fantasy as escape from what's actually here, longing for a future you keep refusing to start."
19-49,Synthesis,Solar Plexus ↔ Root,"The need-sensitivity channel between Solar Plexus and Root. You feel the unmet need in the room, the relationship, the project. The gift is anticipating what's about to be required, before the person needing it has spoken. The shadow is over-providing for needs no one asked you to meet, then resenting that no one noticed."
39-55,Emoting,Solar Plexus ↔ Root,"The spirit-mood channel between Solar Plexus and Root. Your emotional state is the message itself. Your moods are content, and the people who love you eventually learn to read them as information rather than weather to be managed. The shadow is moods that become contagious storms, taking down the room."
26-44,Surrender,Ego ↔ Spleen,"The transmitter channel between Ego and Spleen. You can sell anything you actually believe. Strong memory for people, debts, what was promised. The gift is persuasion in service of something true; people feel you've understood them. The shadow is selling things you don't quite believe yourself, then living with the discomfort of having been convincing about them."
28-38,Struggle,Spleen ↔ Root,"The fight-for-purpose channel between Spleen and Root. You will fight, and the question is what's worth fighting for. The gift is finding the cause, and the stamina to stay with it. The shadow is fighting because fighting feels familiar, picking the next opposition before resolving the last."
32-54,Transformation,Spleen ↔ Root,"The ambition channel between Spleen and Root. You climb what's still moving, work in what's still changing. The gift is endurance through transition, the rare patience to keep building when the ground keeps shifting. The shadow is climbing the wrong ladder for so long that you forget what you were after."
18-58,Judgment,Spleen ↔ Root,"The corrective-vision channel between Spleen and Root. You see what's broken, and you find joy in fixing it. The gift is improvement nobody else thought to attempt. The shadow is finding fault in things that were already good enough, and exhausting the people around you with the constant correction."
